Brewery,City,State,Brewery_id,Name,Beer_ID,ABV,IBU,Style,Ounces
Indiana City Brewing,Indianapolis,IN,24,Tribute,2609,0.058,58,American Pale Ale (APA),12
Burn 'Em Brewing,Michigan City,IN,25,Pale Alement,2478,0.055,40,American Pale Ale (APA),12
Burn 'Em Brewing,Michigan City,IN,25,Joey Wheat,2160,0.068,16,American Pale Wheat Ale,16
Burn 'Em Brewing,Michigan City,IN,25,Pale Alement,2054,0.055,40,American Pale Ale (APA),16
Sun King Brewing Company,Indianapolis,IN,26,Hop Up Offa That Brett (2014),2085,0.058,20,Belgian Pale Ale,16
Sun King Brewing Company,Indianapolis,IN,26,PV Muckle (2013),2084,0.083,23,Scotch Ale / Wee Heavy,16
Sun King Brewing Company,Indianapolis,IN,26,Bourbon Barrel Batch 666: Sympathy for the Devil,2083,0.099,36,Belgian Dark Ale,16
Sun King Brewing Company,Indianapolis,IN,26,Whip Fight,2082,0.09,30,Scotch Ale / Wee Heavy,16
Sun King Brewing Company,Indianapolis,IN,26,Port Barrel Wee Mac,2081,0.053,23,Scotch Ale / Wee Heavy,16
Sun King Brewing Company,Indianapolis,IN,26,Wee Muckle,1656,0.09,30,Scotch Ale / Wee Heavy,16
Sun King Brewing Company,Indianapolis,IN,26,Osiris Pale Ale,1389,0.056,50,American Pale Ale (APA),16
Sun King Brewing Company,Indianapolis,IN,26,Bourbon Barrel Wee Mac,1127,0.054,23,Scottish Ale,16
Sun King Brewing Company,Indianapolis,IN,26,Wee Muckle (2011),584,0.09,30,Scotch Ale / Wee Heavy,16
Sun King Brewing Company,Indianapolis,IN,26,Wee Mac Scottish-Style Ale,213,0.054,23,Scottish Ale,16
Sun King Brewing Company,Indianapolis,IN,26,Sunlight Cream Ale,55,0.053,20,Cream Ale,16
Sun King Brewing Company,Indianapolis,IN,26,Osiris Pale Ale (2010),54,0.056,50,American Pale Ale (APA),16
Evil Czech Brewery,Mishawaka,IN,27,Blonde Czich,2604,0.049,23,American Blonde Ale,16
450 North Brewing Company,Columbus,IN,28,Ironman,2218,0.09,50,English Strong Ale,16
450 North Brewing Company,Columbus,IN,28,Copperhead Amber,2216,0.052,18,Belgian Dark Ale,16
Cedar Creek Brewery,Seven Points,TX,30,Elliott's Phoned Home Pale Ale,1182,0.051,36,American Pale Ale (APA),16
Cedar Creek Brewery,Seven Points,TX,30,The Lawn Ranger,1050,0.05,18,Cream Ale,16
SanTan Brewing Company,Chandler,AZ,31,SunSpot Golden Ale,1934,0.05,15,American Blonde Ale,12
SanTan Brewing Company,Chandler,AZ,31,Epicenter Amber Ale,1073,0.055,20,American Amber / Red Ale,12
SanTan Brewing Company,Chandler,AZ,31,Devil’s Ale,850,0.055,45,American Pale Ale (APA),12
SanTan Brewing Company,Chandler,AZ,31,American Idiot Ale (2012),764,0.055,45,American Pale Ale (APA),12
SanTan Brewing Company,Chandler,AZ,31,Devil’s Ale (2010),285,0.055,45,American Pale Ale (APA),12
SanTan Brewing Company,Chandler,AZ,31,Epicenter Amber Ale (2010),124,0.055,20,American Amber / Red Ale,12
The Dudes' Brewing Company,Torrance,CA,34,Surfrider,2594,0.052,35,American Pale Ale (APA),16
The Dudes' Brewing Company,Torrance,CA,34,Grandma's Pecan,1562,0.069,34,English Brown Ale,16
Avery Brewing Company,Boulder,CO,38,Ellie’s Brown Ale,106,0.055,17,American Brown Ale,12
Revolution Brewing Company,Chicago,IL,45,Fist City,2576,0.055,40,American Pale Ale (APA),12
Tallgrass Brewing Company,Manhattan,KS,46,Ginger Peach Saison,2555,0.048,20,Saison / Farmhouse Ale,16
Tallgrass Brewing Company,Manhattan,KS,46,Wild Plum Farmhouse Ale,1196,0.056,20,Saison / Farmhouse Ale,16
Tallgrass Brewing Company,Manhattan,KS,46,Tallgrass Pub Ale,1009,0.044,12,American Brown Ale,16
Tallgrass Brewing Company,Manhattan,KS,46,Halcyon Unfiltered Wheat,676,0.05,20,American Pale Wheat Ale,16
Tallgrass Brewing Company,Manhattan,KS,46,Halcyon Unfiltered Wheat,412,0.05,20,American Pale Wheat Ale,12
Tallgrass Brewing Company,Manhattan,KS,46,Tallgrass Ale,103,0.044,22,American Brown Ale,16
Sixpoint Craft Ales,Brooklyn,NY,47,Sensi Harvest,1962,0.047,50,American Pale Ale (APA),12
Sixpoint Craft Ales,Brooklyn,NY,47,Global Warmer,1608,0.07,70,American Strong Ale,12
Sixpoint Craft Ales,Brooklyn,NY,47,Sweet Action,1387,0.052,34,Cream Ale,16
Sixpoint Craft Ales,Brooklyn,NY,47,Brownstone,778,0.059,47,American Brown Ale,16
Sixpoint Craft Ales,Brooklyn,NY,47,Apollo,630,0.052,11,American Pale Wheat Ale,16
Sixpoint Craft Ales,Brooklyn,NY,47,Harbinger,629,0.049,35,Saison / Farmhouse Ale,16
Sixpoint Craft Ales,Brooklyn,NY,47,Autumnation (2011-12) (2011),512,0.06,48,Pumpkin Ale,16
Sixpoint Craft Ales,Brooklyn,NY,47,Sweet Action (2011),424,0.052,34,Cream Ale,16
Firestone Walker Brewing Company,Paso Robles,CA,49,805,1733,0.047,20,American Blonde Ale,12
Upslope Brewing Company,Boulder,CO,52,Lee Hill Series Vol. 2 - Wild Saison,2563,0.068,24,American Wild Ale,19.2
Upslope Brewing Company,Boulder,CO,52,Ferus Fluxus Wild Belgian Pale Ale,1853,0.075,30,American Wild Ale,19.2
Upslope Brewing Company,Boulder,CO,52,Upslope Belgian Style Pale Ale,683,0.075,30,Belgian Pale Ale,12
Bent Brewstillery,Roseville,MN,54,Nordic Blonde,2556,0.057,27,American Blonde Ale,12
Pollyanna Brewing Company,Lemont,IL,56,Mazzie,2553,0.054,45,American Pale Ale (APA),12
Destihl Brewery,Bloomington,IL,58,Abbey's Single (2015- ),2505,0.049,22,Abbey Single Ale,12
Destihl Brewery,Bloomington,IL,58,Abbey's Single Ale (Current),1887,0.049,22,Abbey Single Ale,12
Summit Brewing Company,St. Paul,MN,59,Hopvale Organic Ale,2473,0.047,55,American Pale Ale (APA),16
4 Hands Brewing Company,Saint Louis,MO,61,Send Help,2544,0.045,18,American Blonde Ale,12
4 Hands Brewing Company,Saint Louis,MO,61,Contact High,1870,0.05,28,American Pale Wheat Ale,12
Surly Brewing Company,Brooklyn Center,MN,62,BLAKKR,1739,0.099,85,American Black Ale,16
Surly Brewing Company,Brooklyn Center,MN,62,Coffee Bender,17,0.051,45,American Brown Ale,16
Surly Brewing Company,Brooklyn Center,MN,62,Bender,16,0.051,45,American Brown Ale,16
Surly Brewing Company,Brooklyn Center,MN,62,CynicAle,13,0.067,33,Saison / Farmhouse Ale,16
Against The Grain Brewery,Louisville,KY,63,The Brown Note,2539,0.05,20,American Brown Ale,16
Crazy Mountain Brewing Company,Edwards,CO,64,Neomexicanus Native,2538,0.06,46,American Pale Ale (APA),12
Crazy Mountain Brewing Company,Edwards,CO,64,Old Soul,2355,0.075,25,Belgian Strong Pale Ale,12
Crazy Mountain Brewing Company,Edwards,CO,64,Crazy Mountain Amber Ale,356,0.052,25,American Amber / Red Ale,12
Freetail Brewing Company,San Antonio,TX,67,Texicali,2526,0.065,33,American Brown Ale,12
Red Shedman Farm Brewery and Hop...,Mt. Airy,MD,69,Farmer's Daughter Blonde,2516,0.051,17,American Blonde Ale,16
Appalachian Mountain Brewery,Boone,NC,70,Honey Badger Blonde,2510,0.047,19,American Blonde Ale,16
Birdsong Brewing Company,Charlotte,NC,71,Jalapeno Pale Ale,2508,0.055,45,American Pale Ale (APA),16
Atwater Brewery,Detroit,MI,73,Dirty Blonde Ale,534,0.045,8,American Blonde Ale,12
Two Brothers Brewing Company,Warrenville,IL,75,Night Cat,2246,0.058,43,American Dark Wheat Ale,12
Two Brothers Brewing Company,Warrenville,IL,75,Night Cat (2014),1630,0.058,43,American Dark Wheat Ale,12
Two Brothers Brewing Company,Warrenville,IL,75,Sidekick Extra Pale Ale,1121,0.051,36,American Pale Ale (APA),12
Two Brothers Brewing Company,Warrenville,IL,75,Cane and Ebel,861,0.07,68,American Strong Ale,12
Bent Paddle Brewing Company,Duluth,MN,76,Bent Paddle Black Ale,1261,0.06,34,American Black Ale,12
Black Tooth Brewing Company,Sheridan,WY,80,Saddle Bronc Brown Ale,2485,0.048,16,American Brown Ale,12
Black Tooth Brewing Company,Sheridan,WY,80,Bomber Mountain Amber Ale,2484,0.046,20,American Amber / Red Ale,12
Hopworks Urban Brewery,Portland,OR,81,Nonstop Hef Hop,2400,0.039,20,American Pale Wheat Ale,16
Hopworks Urban Brewery,Portland,OR,81,Nonstop Hef Hop,2399,0.039,20,American Pale Wheat Ale,16
Hopworks Urban Brewery,Portland,OR,81,Nonstop Hef Hop,2398,0.039,20,American Pale Wheat Ale,16
Hopworks Urban Brewery,Portland,OR,81,Nonstop Hef Hop,2397,0.039,20,American Pale Wheat Ale,16
Hopworks Urban Brewery,Portland,OR,81,Nonstop Hef Hop,2396,0.039,20,American Pale Wheat Ale,16
Hopworks Urban Brewery,Portland,OR,81,Nonstop Hef Hop,2395,0.039,20,American Pale Wheat Ale,16
Hopworks Urban Brewery,Portland,OR,81,Nonstop Hef Hop,2394,0.039,20,American Pale Wheat Ale,16
Hopworks Urban Brewery,Portland,OR,81,Nonstop Hef Hop,2393,0.039,20,American Pale Wheat Ale,16
Hopworks Urban Brewery,Portland,OR,81,Nonstop Hef Hop,2392,0.039,20,American Pale Wheat Ale,16
Hopworks Urban Brewery,Portland,OR,81,Nonstop Hef Hop,2391,0.039,20,American Pale Wheat Ale,16
Hopworks Urban Brewery,Portland,OR,81,Nonstop Hef Hop,2390,0.039,20,American Pale Wheat Ale,16
Hopworks Urban Brewery,Portland,OR,81,Nonstop Hef Hop,2389,0.039,20,American Pale Wheat Ale,16
Hopworks Urban Brewery,Portland,OR,81,Rise Up Red,2388,0.058,60,American Amber / Red Ale,16
Hopworks Urban Brewery,Portland,OR,81,Abominable Winter Ale,2193,0.073,70,American Strong Ale,16
Hopworks Urban Brewery,Portland,OR,81,Rise-Up Red (2014),1085,0.058,60,American Amber / Red Ale,16
Hopworks Urban Brewery,Portland,OR,81,Abominable Winter Ale (2012),916,0.073,70,American Strong Ale,16
New Belgium Brewing Company,Fort Collins,CO,83,Fat Tire Amber Ale,1586,0.052,18,American Amber / Red Ale,12
New Belgium Brewing Company,Fort Collins,CO,83,Fat Tire Amber Ale (2011),748,0.052,18,American Amber / Red Ale,12
New Belgium Brewing Company,Fort Collins,CO,83,Fat Tire Amber Ale,563,0.052,18,American Amber / Red Ale,16
New Belgium Brewing Company,Fort Collins,CO,83,Fat Tire Amber Ale (2008),71,0.052,18,American Amber / Red Ale,12
Sierra Nevada Brewing Company,Chico,CA,84,Sierra Nevada Pale Ale,1905,0.056,37,American Pale Ale (APA),16
Sierra Nevada Brewing Company,Chico,CA,84,Old Chico Crystal Wheat,1338,0.048,26,American Pale Wheat Ale,12
Sierra Nevada Brewing Company,Chico,CA,84,Sierra Nevada Pale Ale,400,0.056,37,American Pale Ale (APA),12
Kirkwood Station Brewing Company,Kirkwood,MO,88,Blackberry Wheat,2459,0.048,11,American Pale Wheat Ale,16
Goose Island Brewing Company,Chicago,IL,89,312 Urban Pale Ale,2457,0.054,30,American Pale Ale (APA),16
Goose Island Brewing Company,Chicago,IL,89,312 Urban Pale Ale,2202,0.054,30,American Pale Ale (APA),12
Goose Island Brewing Company,Chicago,IL,89,312 Urban Wheat Ale,2201,0.042,18,American Pale Wheat Ale,16
Goose Island Brewing Company,Chicago,IL,89,312 Urban Wheat Ale,1829,0.042,18,American Pale Wheat Ale,12
Goose Island Brewing Company,Chicago,IL,89,312 Urban Wheat Ale (2012),581,0.042,20,American Pale Wheat Ale,12
Madtree Brewing Company,Cincinnati,OH,92,Sol Drifter,2209,0.043,18,American Blonde Ale,12
Madtree Brewing Company,Cincinnati,OH,92,SPRYE,1815,0.05,40,American Pale Ale (APA),12
Madtree Brewing Company,Cincinnati,OH,92,Gnarly Brown,1125,0.07,32,American Brown Ale,12
Madtree Brewing Company,Cincinnati,OH,92,Happy Amber,1124,0.06,30,American Amber / Red Ale,12
Rhinegeist Brewery,Cincinnati,OH,94,Hustle,2452,0.057,42,American Amber / Red Ale,12
Rhinegeist Brewery,Cincinnati,OH,94,Pure Fury,2451,0.055,42,American Pale Ale (APA),12
Rhinegeist Brewery,Cincinnati,OH,94,Dad,2132,0.06,60,American Amber / Red Ale,12
Rhinegeist Brewery,Cincinnati,OH,94,Zen,1935,0.043,45,American Pale Ale (APA),12
Rhinegeist Brewery,Cincinnati,OH,94,Cougar,1851,0.048,25,American Blonde Ale,12
Warped Wing Brewing Company,Dayton,OH,95,Ermal's,2223,0.054,20,Cream Ale,16
Tröegs Brewing Company,Hershey,PA,98,Nugget Nectar,2444,0.075,93,American Amber / Red Ale,16
Mission Brewery,San Diego,CA,99,El Conquistador Extra Pale Ale,1460,0.048,44,American Pale Ale (APA),32
Coastal Extreme Brewing Company,Newport,RI,102,Hurricane Amber Ale (2004),751,0.052,24,American Amber / Red Ale,12
Coastal Extreme Brewing Company,Newport,RI,102,Hurricane Amber Ale,120,0.052,24,American Amber / Red Ale,12
Beer Works Brewery,Lowell,MA,104,Fenway American Pale Ale,2423,0.058,45,American Pale Ale (APA),12
Lone Tree Brewing Company,Lone Tree,CO,105,Peach Pale Ale,2434,0.057,40,American Pale Ale (APA),12
Four String Brewing Company,Columbus,OH,106,Suncaster Summer Wheat,2427,0.05,28,American Pale Wheat Ale,12
Four String Brewing Company,Columbus,OH,106,Brass Knuckle Pale Ale,2425,0.057,36,American Pale Ale (APA),12
Bonfire Brewing Company,Eagle,CO,108,Kilt Dropper Scotch Ale,1727,0.075,22,Scotch Ale / Wee Heavy,16
Bonfire Brewing Company,Eagle,CO,108,Kindler Pale Ale,1183,0.053,45,American Pale Ale (APA),12
Renegade Brewing Company,Denver,CO,111,Consilium,2414,0.05,40,American Pale Ale (APA),12
Renegade Brewing Company,Denver,CO,111,5:00 O'Clock Afternoon Ale,1005,0.05,25,American Blonde Ale,16
Mother Earth Brew Company,Vista,CA,112,Cali Creamin',2413,0.052,21,Cream Ale,12
Black Market Brewing Company,Temecula,CA,113,Deception,2412,0.045,16,American Blonde Ale,12
Black Market Brewing Company,Temecula,CA,113,Aftermath Pale Ale,1896,0.058,44,American Pale Ale (APA),12
Smartmouth Brewing Company,Norfolk,VA,116,Murphy's Law,2406,0.058,35,American Amber / Red Ale,12
Smartmouth Brewing Company,Norfolk,VA,116,Alter Ego,2405,0.062,33,Saison / Farmhouse Ale,12
Alameda Brewing,Portland,OR,118,Klickitat Pale Ale,2402,0.053,36,American Pale Ale (APA),12
Southern Star Brewing Company,Conroe,TX,119,Pine Belt Pale Ale,2387,0.065,45,American Pale Ale (APA),12
Southern Star Brewing Company,Conroe,TX,119,Old Potentate,1010,0.072,40,Old Ale,12
Southern Star Brewing Company,Conroe,TX,119,Bombshell Blonde,856,0.05,20,American Blonde Ale,16
Southern Star Brewing Company,Conroe,TX,119,Pine Belt Pale Ale,45,0.065,45,American Pale Ale (APA),16
Southern Star Brewing Company,Conroe,TX,119,Bombshell Blonde,44,0.05,20,American Blonde Ale,12
Steamworks Brewing Company,Durango,CO,120,Third Eye Enlightened Pale Ale,2386,0.065,65,American Pale Ale (APA),12
Center of the Universe Brewing C...,Ashland,VA,123,Ray Ray’s Pale Ale,1247,0.052,42,American Pale Ale (APA),12
Griffin Claw Brewing Company,Birmingham,MI,125,Mr. Blue Sky,2375,0.045,6,American Pale Wheat Ale,16
Griffin Claw Brewing Company,Birmingham,MI,125,Screamin’ Pumpkin,2142,0.05,25,Pumpkin Ale,16
Griffin Claw Brewing Company,Birmingham,MI,125,El Rojo,2140,0.065,25,American Amber / Red Ale,16
Griffin Claw Brewing Company,Birmingham,MI,125,Grind Line,2138,0.05,35,American Pale Ale (APA),16
Karbach Brewing Company,Houston,TX,126,Weekend Warrior Pale Ale,1557,0.055,40,American Pale Ale (APA),12
Karbach Brewing Company,Houston,TX,126,Barn Burner Saison,1068,0.066,20,Saison / Farmhouse Ale,12
Deep Ellum Brewing Company,Dallas,TX,128,Oak Cliff Coffee Ale,2251,0.075,33,American Brown Ale,12
Deep Ellum Brewing Company,Dallas,TX,128,Farmhouse Wit,1202,0.048,25,Saison / Farmhouse Ale,16
Deep Ellum Brewing Company,Dallas,TX,128,Dallas Blonde,946,0.052,23,American Blonde Ale,12
Real Ale Brewing Company,Blanco,TX,129,BLAKKR,1861,0.099,85,American Black Ale,12
Real Ale Brewing Company,Blanco,TX,129,Firemans #4 Blonde Ale (2013),1718,0.051,21,American Blonde Ale,12
Real Ale Brewing Company,Blanco,TX,129,Four Squared (2015),1086,0.06,50,American Blonde Ale,12
Real Ale Brewing Company,Blanco,TX,129,Firemans #4 Blonde Ale (2015),830,0.051,21,American Blonde Ale,12
Stevens Point Brewery,Stevens Point,WI,132,Point Cascade Pale Ale (2013),2270,0.054,33,American Pale Ale (APA),12
Stevens Point Brewery,Stevens Point,WI,132,Onyx Black Ale,2151,0.052,9,American Black Ale,12
Stevens Point Brewery,Stevens Point,WI,132,Point Nude Beach Summer Wheat,1225,0.052,7,American Pale Wheat Ale,16
Stevens Point Brewery,Stevens Point,WI,132,Point Nude Beach Summer Wheat,816,0.05,7,American Pale Wheat Ale,12
Stevens Point Brewery,Stevens Point,WI,132,Point Nude Beach Summer Wheat (2011),772,0.05,7,American Pale Wheat Ale,12
Stevens Point Brewery,Stevens Point,WI,132,2012 Black Ale,357,0.054,32,American Brown Ale,12
Stevens Point Brewery,Stevens Point,WI,132,Point Nude Beach Summer Wheat (2010),141,0.05,7,American Pale Wheat Ale,12
Stevens Point Brewery,Stevens Point,WI,132,Point Cascade Pale Ale,140,0.054,33,American Pale Ale (APA),12
Southern Prohibition Brewing Com...,Hattiesburg,MS,134,Devil's Harvest Extra Pale Ale,2297,0.058,60,American Pale Ale (APA),12
Southern Prohibition Brewing Com...,Hattiesburg,MS,134,Suzy B Dirty Blonde Ale,2296,0.05,20,American Blonde Ale,12
Southern Prohibition Brewing Com...,Hattiesburg,MS,134,Mississippi Fire Ant,1745,0.08,80,American Amber / Red Ale,16
Southern Prohibition Brewing Com...,Hattiesburg,MS,134,Suzy B Dirty Blonde Ale,1118,0.05,20,American Blonde Ale,16
Southern Prohibition Brewing Com...,Hattiesburg,MS,134,Devil's Harvest Extra Pale Ale,1117,0.058,60,American Pale Ale (APA),16
Pug Ryan's Brewery,Dillon,CO,136,Morning Wood Wheat (Current),2360,0.059,14,American Pale Wheat Ale,12
Pug Ryan's Brewery,Dillon,CO,136,Over the Rail Pale Ale,711,0.057,68,American Pale Ale (APA),12
Pug Ryan's Brewery,Dillon,CO,136,Morning Wood Wheat (Current),130,0.059,14,American Pale Wheat Ale,12
Summit Brewing Company,St Paul,MN,139,Extra Pale Ale,2352,0.053,49,American Pale Ale (APA),12
Independence Brewing Company,Austin,TX,141,Oklahoma Suks,2350,0.048,32,American Amber / Red Ale,12
Independence Brewing Company,Austin,TX,141,Power & Light,2301,0.055,42,American Pale Ale (APA),12
Cigar City Brewing Company,Tampa,FL,142,Wandering Pelican,2013,0.082,65,American Black Ale,12
Cigar City Brewing Company,Tampa,FL,142,Maduro Brown Ale,1138,0.055,25,English Brown Ale,12
Cigar City Brewing Company,Tampa,FL,142,Maduro Brown Ale,571,0.055,25,American Brown Ale,12
Cigar City Brewing Company,Tampa,FL,142,Tocobaga Red Ale,569,0.072,75,American Amber / Red Ale,12
Third Street Brewhouse,Cold Spring,MN,143,Hunny Do Wheat,2347,0.048,18,American Pale Wheat Ale,12
Narragansett Brewing Company,Providence,RI,144,Narragansett Summer Ale,1093,0.042,24,American Pale Wheat Ale,12
Narragansett Brewing Company,Providence,RI,144,Narragansett Cream Ale,580,0.05,22,Cream Ale,16
Narragansett Brewing Company,Providence,RI,144,Narragansett Summer Ale,403,0.042,24,American Pale Wheat Ale,16
Odyssey Beerwerks,Arvada,CO,149,Perpetual Darkness,2335,0.092,72,Belgian Strong Dark Ale,12
Odyssey Beerwerks,Arvada,CO,149,Clan Warrior,2334,0.087,29,Scotch Ale / Wee Heavy,12
Lonerider Brewing Company,Raleigh,NC,150,Peacemaker Pale Ale,2329,0.057,47,American Pale Ale (APA),12
Lonerider Brewing Company,Raleigh,NC,150,Sweet Josie,2326,0.061,30,American Brown Ale,12
Oakshire Brewing,Eugene,OR,151,Oakshire Amber Ale,1669,0.054,24,American Amber / Red Ale,12
Tin Roof Brewing Company,Baton Rouge,LA,153,Tin Roof Blonde Ale,529,0.045,18,American Blonde Ale,12
Tin Roof Brewing Company,Baton Rouge,LA,153,Voodoo Bengal Pale Ale,495,0.055,37,American Pale Ale (APA),12
Tin Roof Brewing Company,Baton Rouge,LA,153,Perfect Tin Amber,494,0.045,28,American Amber / Red Ale,12
Three Creeks Brewing,Sisters,OR,154,Knotty Blonde Ale,2319,0.04,18,American Blonde Ale,12
Caldera Brewing Company,Ashland,OR,156,Caldera Pale Ale,1419,0.056,55,American Pale Ale (APA),12
Caldera Brewing Company,Ashland,OR,156,Ashland Amber Ale (2009),794,0.054,24,American Amber / Red Ale,12
Caldera Brewing Company,Ashland,OR,156,Caldera Pale Ale (2010),791,0.056,55,American Pale Ale (APA),12
Caldera Brewing Company,Ashland,OR,156,Caldera Pale Ale (2009),790,0.056,55,American Pale Ale (APA),12
Caldera Brewing Company,Ashland,OR,156,Caldera Pale Ale (2005),789,0.056,55,American Pale Ale (APA),12
Caldera Brewing Company,Ashland,OR,156,Caldera Pale Ale (2007),788,0.056,55,American Pale Ale (APA),12
Caldera Brewing Company,Ashland,OR,156,Caldera Pale Ale (2011),38,0.056,55,American Pale Ale (APA),12
Caldera Brewing Company,Ashland,OR,156,Ashland Amber Ale,37,0.054,24,American Amber / Red Ale,12
Greenbrier Valley Brewing Company,Lewisburg,WV,157,Wild Trail Pale Ale,2314,0.057,44,American Pale Ale (APA),12
Greenbrier Valley Brewing Company,Lewisburg,WV,157,Mothman Black IPA,2313,0.067,71,American Black Ale,12
Uinta Brewing Company,Salt Lake City,UT,160,PUNK'N,2310,0.05,10,Pumpkin Ale,12
Uinta Brewing Company,Salt Lake City,UT,160,SUM'R,1212,0.04,17,American Blonde Ale,12
Uinta Brewing Company,Salt Lake City,UT,160,Cutthroat Pale Ale,1088,0.04,34,American Pale Ale (APA),12
Uinta Brewing Company,Salt Lake City,UT,160,WYLD Extra Pale Ale,974,0.04,29,American Pale Ale (APA),12
Four Peaks Brewing Company,Tempe,AZ,161,Kilt Lifter Scottish-Style Ale (2009),179,0.06,21,Scottish Ale,12
Martin House Brewing Company,Fort Worth,TX,162,River House,2308,0.05,20,Saison / Farmhouse Ale,16
Martin House Brewing Company,Fort Worth,TX,162,Rubberneck Red,2197,0.05,35,American Amber / Red Ale,16
Round Guys Brewing,Lansdale,PA,165,Sundown,2304,0.071,36,Saison / Farmhouse Ale,12
Round Guys Brewing,Lansdale,PA,165,Original Slacker Ale,1842,0.056,40,English Brown Ale,12
Great Crescent Brewery,Aurora,IN,166,Beer Agent Re-Ignition,2303,0.053,22,American Blonde Ale,16
Great Crescent Brewery,Aurora,IN,166,Great Crescent Blonde Ale,1699,0.053,22,American Blonde Ale,16
Great Crescent Brewery,Aurora,IN,166,Great Crescent Brown Ale,649,0.045,36,American Brown Ale,16
Great Crescent Brewery,Aurora,IN,166,Frosted Fields Winter Wheat,615,0.06,25,American Dark Wheat Ale,16
Great Crescent Brewery,Aurora,IN,166,Great Crescent Mild Ale,439,0.042,26,English Dark Mild Ale,16
Great Crescent Brewery,Aurora,IN,166,Great Crescent Blonde Ale (2011),389,0.053,22,American Blonde Ale,16
Oskar Blues Brewery,Longmont,CO,167,Dale's Pale Ale,1444,0.065,65,American Pale Ale (APA),12
Oskar Blues Brewery,Longmont,CO,167,Dale's Pale Ale,1252,0.065,65,American Pale Ale (APA),12
Oskar Blues Brewery,Longmont,CO,167,Dale's Pale Ale,955,0.065,65,American Pale Ale (APA),19.2
Oskar Blues Brewery,Longmont,CO,167,Dale's Pale Ale (10 Year Anniversary),892,0.065,65,American Pale Ale (APA),12
Oskar Blues Brewery,Longmont,CO,167,Dale's Pale Ale (2012),828,0.065,65,American Pale Ale (APA),12
Oskar Blues Brewery,Longmont,CO,167,Dale's Pale Ale (2011),755,0.065,65,American Pale Ale (APA),12
Oskar Blues Brewery,Longmont,CO,167,Dale's Pale Ale (2010),754,0.065,65,American Pale Ale (APA),12
Oskar Blues Brewery,Longmont,CO,167,HGH (Home Grown Hops): Part Duh,585,0.08,70,American Strong Ale,12
Oskar Blues Brewery,Longmont,CO,167,Old Chub,5,0.08,35,Scottish Ale,12
Oskar Blues Brewery,Longmont,CO,167,Dale's Pale Ale,1,0.065,65,American Pale Ale (APA),12
High Hops Brewery,Windsor,CO,169,The Power of Zeus,2294,0.07,68,American Pale Ale (APA),12
Crooked Fence Brewing Company,Garden City,ID,170,Aviator Raspberry Blonde,2293,0.049,25,American Blonde Ale,12
Anderson Valley Brewing Company,Boonville,CA,172,Summer Solstice,1350,0.056,4,Cream Ale,12
Anderson Valley Brewing Company,Boonville,CA,172,Boont Amber Ale,1326,0.058,15,American Amber / Red Ale,12
Anderson Valley Brewing Company,Boonville,CA,172,Boont Amber Ale (2010),811,0.058,15,American Amber / Red Ale,12
Anderson Valley Brewing Company,Boonville,CA,172,Summer Solstice Cerveza Crema (2009),753,0.056,4,Cream Ale,12
Anderson Valley Brewing Company,Boonville,CA,172,Boont Amber Ale (2011),78,0.058,15,American Amber / Red Ale,12
